"";"id";"tDeel";"demo_gender";"demo_age";"demo_edu";"demo_edu1";"demo_living";"demo_work";"demo_work1";"demo_incom";"ind_pro_env_att_1";"resp_business";"resp_govern";"ind_effic_1";"proEnvAtt2";"ind_effic_2";"soc_norms_aware";"soc_norms_reduce";"identity";"col_effic_climate";"col_effic_energu";"contact_visit";"contact_active";"contact_help";"contact_advise";"club_membership";"Q13a";"club_1";"club_2";"club_3";"club_4";"club_5";"strentgh_1";"strength_2";"strength_3";"strength_4";"strength_5";"willingness_collI_nvest";"willingness_part_CEI_general";"invest_solar";"invest_isolation";"invest_machines";"invest_green_energy";"invest_others";"Q53a";"join_meeting";"join_volun";"join_finan";"reason_social";"reason_env";"reason_finance";"reason_independ";"reason_comfort";"reason_en_price";"reason_respons";"reason_other";"Q20a";"hurdle_know";"hurdle_time";"hurdle_finance";"hurdle_risk";"hurdle_give_up";"hurdle_identety";"Q22";"initiator1";"initiator2";"initiator3";"initiator4";"initiator5";"initiator6";"initiator7";"initiator8";"initiator9";"initiator10";"initiator11";"initiator12";"initiator13";"relation1";"relation2";"relation3";"relation4";"relation5";"relation6";"relation7";"relation8";"relation9";"relation10";"relation11";"relation12";"relation13";"open_team";"skills_team";"trust_team";"interests_CEI";"interests_munic";"interests_govern";"trust_neigh";"trust_gov";"trust_energy_comp";"perc_other_part";"dis_fair_earning";"dis_fair_subsidies";"en_pov_bill";"en_pov_debt";"en_pov_label";"en_pov_ruims";"en_pov_problems_1";"en_pov_problems_2";"en_pov_problems_3";"en_pov_problems_4";"en_pov_problems_5";"Initiator";"demo_age_cleaned";"ind_pro_env_att_1_rev";"proEnvAtt2_rev";"ind_pro_env_att";"ind_effic";"soc_norms";"col_effic_energ";"col_effic";"contact_advise_scale";"willing_to_part";"trust"
"55";60;1;1;55;5;"";2;2;"";6;1;7;7;7;1;7;4;5;2;7;7;3;3;4;2;2;NA;"32";"5";"";"";"";NA;6;NA;NA;NA;6;6;3;3;3;3;3;"Regenwater tuin. Überhaupt zuinig met water.";3;3;2;4;7;7;7;7;4;7;NA;"";1;1;1;4;1;1;NA;1;1;1;1;1;1;1;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;5;7;7;6;6;6;5;4;4;4;7;4;5;2;NA;3;NA;NA;NA;NA;1;NA;55;7;7;7;7;4,5;7;7;3;1,33333333333333;6,33333333333333
"56";61;1;1;50;4;"";2;2;"";5;4;5;5;5;1;7;4;4;6;6;3;5;3;2;3;2;NA;"6";"";"";"";"";3;NA;NA;NA;NA;3;3;2;3;3;3;NA;"";2;2;2;2;2;2;2;2;3;3;NA;"";5;5;6;5;4;1;NA;1;1;1;1;1;1;1;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;5;3;4;4;3;3;3;4;3;3;3;3;5;NA;8;4;NA;NA;NA;NA;1;NA;50;4;7;5,5;6;4;3;4,5;3,25;2;4
"57";62;1;1;60;3;"";2;2;"";4;1;7;7;7;1;7;2;2;1;7;7;2;3;1;4;2;NA;"21";"32";"5";"";"";6;6;6;6;6;1;2;3;3;3;3;NA;"";3;3;3;1;1;1;2;NA;2;2;NA;"";1;1;1;3;2;1;NA;1;1;2;1;2;1;2;2;1;2;1;1;1;NA;NA;1;NA;3;NA;3;4;NA;3;NA;NA;NA;1;2;4;1;4;4;3;2;2;2;3;3;5;NA;8;4;1;0;0;0;0;NA;60;7;7;7;7;2;7;7;2,5;1;2,33333333333333
"58";63;1;2;71;5;"";2;6;"";6;1;2;4;3;1;7;4;4;2;5;5;4;2;3;2;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;5;5;3;3;3;3;6;"Domotica/Winteropslag waterstofgas of ethanol.";1;1;1;3;7;1;5;7;4;1;7;"Toekomst kleinkinderen.";2;3;4;4;1;1;NA;2;1;1;1;1;1;1;1;1;1;1;1;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;2;5;4;4;4;4;3;3;2;2;2;5;2;3;3;NA;NA;NA;NA;1;NA;71;7;7;7;5;4;5;5;2,75;3;4
"59";65;1;2;86;2;"";2;6;"";2;5;3;6;2;1;3;4;5;3;2;2;2;1;1;1;2;NA;"21";"5";"";"";"";6;6;6;NA;NA;1;1;1;2;2;1;NA;"";3;3;3;1;1;1;1;1;1;1;NA;"";2;6;6;6;6;1;NA;1;1;1;1;1;1;2;1;1;2;1;1;1;NA;NA;NA;NA;NA;NA;2;NA;NA;2;NA;NA;NA;5;5;5;3;4;3;4;3;3;2;3;3;4;2;8;3;NA;NA;NA;NA;1;NA;86;3;7;5;2,5;4,5;2;2;1,25;1;5
"60";66;1;2;65;4;"";2;6;"";3;2;4;4;5;2;5;5;5;5;5;5;3;3;2;3;2;NA;"26";"22";"40";"";"";2;2;3;NA;NA;4;4;3;3;3;1;NA;"";2;3;3;3;4;3;4;4;4;4;NA;"";4;4;5;5;4;3;NA;NA;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;5;4;4;3;3;3;4;4;3;3;4;4;4;2;4;3;NA;NA;NA;NA;1;NA;65;6;6;6;5;5;5;5;2,75;1,33333333333333;4,33333333333333
"61";67;1;1;62;4;"";2;3;"";5;1;7;7;4;1;7;5;5;4;5;5;4;3;3;3;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;5;5;3;5;3;3;NA;"";2;3;2;4;7;4;7;7;7;7;NA;"";4;3;1;1;1;1;NA;1;1;1;1;1;1;1;1;2;2;3;2;2;NA;NA;NA;NA;NA;NA;NA;NA;3;2;4;3;3;1;7;7;4;4;4;4;4;4;NA;7;4;7;2;8;3;0;0;1;0;0;NA;62;7;7;7;5,5;5;5;5;3,25;1,66666666666667;5
"62";68;1;2;72;3;"";2;6;"";4;4;6;6;3;1;4;4;4;3;3;3;2;3;2;3;2;NA;"43";"";"";"";"";2;NA;NA;NA;NA;2;2;1;3;3;3;NA;"";3;3;3;1;2;3;2;6;4;4;NA;"";1;1;1;4;1;6;NA;1;1;1;1;1;1;1;1;1;2;1;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;1;1;1;1;1;4;3;4;4;1;2;4;3;2;6;4;NA;NA;NA;NA;1;NA;72;4;7;5,5;3,5;4;3;3;2,5;1;1
"63";69;1;2;56;3;"";2;1;"";8;5;4;4;1;1;4;2;2;2;2;2;2;3;1;1;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;1;1;3;3;3;3;NA;"";3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;"";4;4;4;7;7;3;NA;1;1;1;2;2;2;2;2;1;1;1;1;1;NA;NA;NA;3;3;3;3;3;NA;NA;NA;NA;NA;1;4;4;3;3;3;4;3;3;2;1;1;7;2;8;4;NA;NA;NA;NA;1;NA;56;3;7;5;2,5;2;2;2;1,75;1;3
"64";70;1;2;74;4;"";2;6;"";3;1;4;7;6;1;6;3;4;5;6;5;3;3;2;3;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;4;4;3;3;3;3;NA;"";1;1;2;6;6;6;6;7;5;6;NA;"";2;3;2;2;2;1;NA;2;2;2;2;2;2;2;2;2;2;1;2;1;NA;3;3;3;3;3;3;3;3;3;NA;3;NA;4;6;6;5;2;2;4;3;3;3;4;2;7;2;8;3;NA;NA;NA;NA;1;NA;74;7;7;7;6;3,5;5;5,5;2,75;2,66666666666667;5,33333333333333
"65";71;1;2;72;5;"";2;6;"";6;1;7;7;7;1;7;7;7;7;7;7;4;4;4;4;2;NA;"6";"44";"";"";"";4;6;NA;NA;NA;7;7;3;3;3;3;3;"Elektrische auto.";2;1;2;4;5;3;3;3;3;7;NA;"";2;2;2;2;2;2;NA;1;1;1;1;NA;1;1;1;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;6;6;6;7;6;5;5;4;4;4;6;5;1;NA;3;3;NA;NA;NA;NA;1;NA;72;7;7;7;7;7;7;7;4;2,33333333333333;6
"66";72;1;2;68;3;"";2;6;"";3;2;6;7;5;1;7;5;5;7;7;6;5;5;4;4;2;NA;"40";"";"6";"";"";2;2;3;NA;NA;5;5;3;3;3;3;3;"Inductie koken.";1;3;2;5;6;6;4;5;5;5;NA;"";3;3;6;5;4;1;NA;1;1;1;1;2;1;2;2;1;2;1;2;1;NA;NA;NA;NA;3;NA;3;3;NA;3;NA;3;NA;3;4;6;6;5;5;5;4;3;3;5;4;7;2;8;2;NA;NA;NA;NA;1;NA;68;6;7;6,5;6;5;6;6,5;4,5;2;4,33333333333333
"67";73;1;2;40;4;"";2;1;"";6;2;6;7;4;1;5;4;4;5;5;5;4;4;4;4;2;NA;"14";"";"";"";"";3;NA;NA;NA;NA;2;2;3;3;3;3;NA;"";3;3;3;1;1;5;4;5;6;2;NA;"";2;6;4;4;5;2;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;3;4;3;3;4;2;2;5;2;8;3;0;1;0;0;0;NA;40;6;7;6,5;4,5;4;5;5;4;1;NA
"68";74;1;2;67;4;"";2;6;"";5;1;6;7;7;1;7;6;5;6;7;6;5;5;4;4;2;NA;"10";"6";"4";"21";"37";NA;3;3;2;3;5;5;3;3;3;3;6;"Van het gas af.";2;2;2;1;4;4;4;1;4;4;NA;"";5;1;1;2;2;1;NA;1;1;1;1;2;2;2;2;2;1;1;2;1;NA;NA;NA;NA;3;3;4;3;3;NA;NA;3;NA;4;5;6;4;4;4;4;3;3;4;4;5;4;2;4;4;NA;NA;NA;NA;1;NA;67;7;7;7;7;5,5;6;6,5;4,5;2;5
"69";75;1;1;42;5;"";2;3;"";8;4;7;6;3;1;6;5;5;NA;5;5;2;2;2;2;2;NA;"26";"";"";"";"";2;NA;NA;NA;NA;1;2;3;5;3;2;NA;"";3;3;3;1;4;4;1;1;4;2;NA;"";4;6;6;5;5;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;3;3;3;4;3;3;4;3;3;7;NA;8;3;0;0;1;0;0;NA;42;4;7;5,5;4,5;5;5;5;2;1;4
"70";76;1;1;25;4;"";2;2;"";6;3;6;6;4;1;4;4;4;6;3;3;3;4;2;2;2;NA;"6";"";"";"";"";3;4;NA;NA;NA;4;5;5;5;3;6;NA;"";2;3;2;4;5;5;5;5;3;4;NA;"";5;3;3;3;3;2;NA;1;1;1;1;1;1;2;2;1;2;1;1;1;NA;NA;NA;NA;NA;NA;1;1;NA;1;NA;NA;NA;3;5;5;5;5;5;4;3;3;4;6;6;7;2;8;3;NA;NA;NA;NA;1;NA;25;5;7;6;4;4;3;3;2,75;1,66666666666667;4,33333333333333
"71";77;1;2;62;2;"";2;2;"";5;6;7;7;1;5;4;4;4;4;4;4;4;4;3;2;2;NA;"4";"";"";"";"";4;NA;NA;NA;NA;5;5;3;3;3;3;NA;"";2;3;2;3;4;5;5;5;6;3;NA;"";3;3;4;6;3;4;NA;1;1;1;1;2;1;2;2;1;2;1;2;1;NA;NA;NA;NA;1;NA;3;3;NA;1;NA;1;NA;4;4;4;3;3;2;4;3;3;2;2;2;7;2;NA;2;NA;NA;NA;NA;1;NA;62;2;3;2,5;2,5;4;4;4;3,25;1,66666666666667;4
"72";78;1;2;67;4;"";2;2;"";5;1;3;7;5;1;5;5;5;6;6;5;4;4;4;4;2;NA;"7";"34";"31";"";"";2;3;3;NA;NA;4;5;3;3;3;3;NA;"";1;2;2;5;5;3;5;2;5;5;NA;"";2;2;2;3;3;1;NA;2;NA;NA;NA;2;NA;2;2;NA;2;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;5;5;3;4;4;4;4;4;4;5;5;2;1;4;NA;NA;NA;NA;1;NA;67;7;7;7;5;5;5;5,5;4;2,33333333333333;4,66666666666667
"73";79;1;2;72;3;"";2;6;"";4;4;5;6;2;2;4;5;5;7;4;5;4;5;4;4;2;NA;"26";"18";"";"";"";2;2;NA;NA;NA;4;4;3;5;3;1;NA;"";3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;"";4;2;2;6;1;1;NA;1;1;1;1;2;1;2;2;1;2;1;1;1;NA;NA;NA;NA;3;NA;2;2;NA;2;NA;NA;NA;4;4;5;4;4;4;4;3;3;4;3;3;4;NA;8;4;0;0;0;0;0;NA;72;4;6;5;3;5;5;4,5;4,25;1,33333333333333;4,33333333333333
"74";80;1;2;78;3;"";2;6;"";4;1;7;7;7;1;7;5;6;7;6;6;3;3;3;3;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;7;7;3;3;3;6;NA;"";2;2;2;5;6;5;6;6;2;6;NA;"";5;1;3;4;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;4;2;3;4;6;4;5;2;3;3;NA;NA;NA;NA;1;NA;78;7;7;7;7;5,5;6;6;3;2;NA
"75";81;1;2;64;5;"";2;6;"";5;6;7;7;5;1;5;5;5;3;4;4;3;2;4;2;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;3;2;3;3;3;3;3;"Warmtepomp";2;3;3;1;4;4;4;4;4;4;NA;"";1;1;1;7;1;1;NA;NA;NA;NA;NA;NA;NA;2;NA;2;2;2;2;2;NA;NA;NA;NA;NA;NA;1;NA;1;1;1;1;1;6;2;6;4;1;1;4;2;2;4;1;1;5;NA;NA;4;NA;NA;NA;NA;1;NA;64;2;7;4,5;5;5;4;4;2,75;1,33333333333333;4,66666666666667
"76";82;1;2;74;3;"";2;6;"";2;3;3;6;5;1;6;5;5;6;5;5;3;2;3;2;2;NA;"45";"18";"";"";"";6;2;NA;NA;NA;1;3;3;2;3;3;NA;"";2;3;3;1;NA;3;3;3;4;3;NA;"";3;3;5;2;5;3;NA;1;1;1;1;2;2;2;1;1;1;1;1;1;NA;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;4;5;5;3;4;2;4;4;4;4;5;5;2;NA;8;4;NA;NA;NA;NA;1;NA;74;5;7;6;5,5;5;5;5;2,5;1,33333333333333;4,66666666666667
"77";83;1;1;74;5;"";2;NA;"";5;1;1;1;5;1;7;2;3;1;7;7;3;3;3;3;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;6;7;3;3;3;3;NA;"";1;3;2;6;6;6;6;7;7;7;NA;"";5;2;3;2;NA;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;4;3;4;1;4;4;7;2;3;3;0;0;1;0;0;NA;74;7;7;7;6;2,5;7;7;3;2;NA
"78";84;1;2;75;5;"";2;6;"";5;2;5;7;4;1;3;6;6;6;6;6;5;4;4;4;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;3;5;5;3;3;3;NA;"";3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;7;5;7;4;3;3;4;4;4;3;3;4;3;NA;1;4;NA;NA;NA;NA;1;NA;75;6;7;6,5;3,5;6;6;6;4,25;1;6,33333333333333
"79";85;1;1;38;4;"";2;1;"";2;2;7;7;2;1;6;4;4;3;5;5;1;2;1;1;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;1;1;3;3;3;3;NA;"";3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;"";1;1;7;7;7;2;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;2;1;1;4;4;3;3;3;3;4;2;8;2;1;0;0;0;0;NA;38;6;7;6,5;4;4;5;5;1,25;1;4
"80";86;1;2;73;5;"";2;3;"";5;1;1;1;6;1;6;4;4;3;2;5;4;4;1;3;2;NA;"26";"";"";"";"";2;NA;NA;NA;NA;5;5;3;3;3;3;NA;"";2;1;2;4;6;4;6;5;4;6;NA;"";7;6;2;4;4;2;NA;1;1;1;1;2;1;1;1;1;1;1;1;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;4;4;6;4;4;4;4;4;3;NA;4;4;4;NA;8;4;0;1;0;0;0;NA;73;7;7;7;6;4;5;3,5;3;2,33333333333333;4,66666666666667
"81";87;1;2;66;3;"";1;7;"Afgekeurd";5;5;6;6;4;3;4;6;5;5;4;4;4;3;2;2;2;NA;"4";"21";"10";"";"";5;6;6;NA;NA;3;3;6;3;6;2;NA;"";2;3;2;4;4;4;4;6;5;4;NA;"";4;3;6;6;5;2;NA;NA;NA;NA;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;NA;NA;NA;NA;NA;6;5;6;4;2;1;4;2;3;3;3;2;3;2;4;3;NA;NA;NA;NA;1;NA;66;3;5;4;4;5,5;4;4;2,75;1,66666666666667;5,66666666666667
"82";88;1;2;74;2;"";2;6;"";3;1;7;7;7;1;7;4;4;4;2;2;1;1;1;1;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;1;4;1;1;3;3;NA;"";3;3;2;1;4;2;2;1;1;4;NA;"";1;1;1;7;1;7;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;3;3;3;4;4;4;3;1;3;4;NA;8;3;NA;NA;NA;NA;1;NA;74;7;7;7;7;4;2;2;1;1,33333333333333;4
"83";89;1;1;51;3;"";2;3;"";3;4;6;5;5;2;6;4;5;4;3;3;2;3;1;2;2;NA;"46";"";"";"";"";3;NA;NA;NA;NA;1;1;5;NA;1;1;3;"Pelletkachel geplaatst";3;3;3;1;2;5;5;2;6;2;NA;"";6;6;7;6;7;2;NA;2;2;2;1;2;1;2;2;1;2;1;1;1;2;2;2;NA;2;NA;3;3;NA;3;NA;NA;NA;6;6;6;4;4;4;4;2;3;4;4;4;5;2;8;3;1;0;1;0;0;NA;51;4;6;5;5,5;4,5;3;3;2;1;6
"84";90;1;2;48;4;"";2;7;"Ondernemer";2;1;7;7;7;1;7;2;3;1;6;7;4;4;3;4;2;NA;"12";"4";"32";"47";"6";2;NA;6;6;6;4;5;3;3;3;3;3;"Aardwarmtepomp. Accu's. Elektrische auto. Windwokkel.";2;3;2;1;7;7;7;7;7;7;NA;"";1;1;1;1;7;1;NA;2;1;1;1;2;2;2;3;1;1;2;1;1;2;NA;NA;NA;3;2;3;4;NA;NA;2;NA;NA;6;3;4;4;4;1;3;3;3;1;4;1;5;2;8;4;0;0;0;0;1;NA;48;7;7;7;7;2,5;7;6,5;3,75;1,66666666666667;4,33333333333333
"85";91;1;1;69;4;"";2;6;"";2;1;3;6;7;1;7;4;4;4;6;6;5;4;3;4;2;NA;"6";"";"";"";"";3;NA;NA;NA;NA;6;5;3;3;3;3;3;"Warmtepomp.";2;3;3;1;5;1;6;6;1;7;NA;"";2;1;4;1;4;1;NA;2;1;2;1;3;2;2;1;3;NA;2;2;1;2;NA;3;NA;4;3;3;NA;4;NA;3;3;NA;6;5;5;5;5;4;4;4;3;5;4;3;4;2;NA;3;0;0;1;0;0;NA;69;7;7;7;7;4;6;6;4;1,33333333333333;5,33333333333333
"86";92;1;2;60;2;"";1;5;"";2;1;7;7;7;1;7;7;7;7;7;7;2;5;1;1;2;NA;"22";"";"";"";"";2;NA;NA;NA;NA;7;7;4;3;2;2;NA;"";3;3;3;1;7;7;7;7;7;7;NA;"";7;7;7;7;1;1;NA;1;1;1;1;2;1;1;1;1;1;1;1;1;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;7;7;7;7;7;7;5;3;NA;4;NA;NA;NA;2;4;2;NA;NA;NA;NA;1;NA;60;7;7;7;7;7;7;7;2,25;1;7
"87";96;1;1;36;3;"";2;3;"";5;4;7;7;1;1;4;7;7;4;4;1;3;3;1;1;2;NA;"13";"48";"";"";"";2;2;NA;NA;NA;1;1;3;3;3;3;NA;"";3;3;3;1;1;1;7;7;7;1;NA;"";5;4;1;5;5;7;NA;1;1;1;1;1;1;1;2;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;4;4;4;4;4;4;2;1;2;6;4;4;7;2;1;4;NA;NA;NA;NA;1;NA;36;4;7;5,5;2,5;7;1;2,5;2;1;4
"88";97;1;2;66;3;"";2;6;"";2;1;7;7;4;1;7;5;5;1;7;7;4;3;3;3;2;NA;"34";"";"";"";"";4;NA;NA;NA;NA;3;3;3;3;3;3;NA;"";2;2;2;3;6;3;3;4;3;4;NA;"";5;4;1;2;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;4;1;NA;1;1;6;6;6;5;5;5;4;3;3;5;6;5;5;2;NA;2;NA;NA;NA;NA;1;NA;66;7;7;7;5,5;5;7;7;3,25;2;6
"89";98;1;2;59;4;"";2;2;"";5;5;4;5;3;NA;5;4;4;7;3;4;4;4;4;4;NA;NA;"";"";"";"";"";NA;NA;NA;NA;NA;3;3;3;5;3;1;NA;"";3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;"";2;5;2;7;1;1;NA;NA;NA;NA;NA;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;NA;NA;NA;NA;NA;4;4;4;4;4;4;4;NA;2;3;1;1;6;2;3;3;1;1;1;0;0;NA;59;3;NA;3;4;4;4;3,5;4;1;4
"90";99;1;2;60;4;"";2;2;"";6;1;7;7;7;1;7;4;4;3;7;7;3;3;1;3;2;NA;"";"";"";"";"";3;NA;NA;NA;NA;7;7;3;3;3;2;3;"Hys warmtepomp.";1;2;1;2;7;7;7;7;7;7;NA;"";3;3;1;1;1;1;NA;1;1;1;1;2;2;2;2;1;1;1;2;2;NA;NA;NA;NA;1;1;3;3;NA;NA;NA;1;1;5;6;4;7;4;1;4;2;3;3;1;1;5;NA;8;4;NA;NA;NA;NA;1;NA;60;7;7;7;7;4;7;7;2,5;2,66666666666667;5
"91";100;1;2;NA;3;"";2;1;"";3;5;2;3;2;4;4;3;3;5;2;2;2;4;2;2;2;NA;"26";"";"";"";"";2;NA;NA;NA;NA;1;1;3;3;1;1;3;"Accu geplaatst.";2;3;3;2;2;1;6;6;6;2;NA;"";5;4;5;6;6;2;NA;1;1;1;1;2;1;2;2;1;1;1;1;1;NA;NA;NA;NA;2;NA;2;1;NA;NA;NA;NA;NA;4;4;3;3;3;2;4;2;4;2;4;3;5;2;NA;3;NA;NA;NA;NA;1;NA;NA;3;4;3,5;3;3;2;2;2,5;1,33333333333333;3,66666666666667
"92";101;1;1;73;3;"";2;6;"";4;1;4;NA;NA;1;7;6;5;7;7;7;4;4;1;3;2;NA;"35";"";"";"34";"";3;2;3;1;NA;7;7;3;3;3;3;3;"Warmtepomp.";1;1;1;6;7;7;7;7;7;7;NA;"";2;2;2;2;4;1;NA;1;1;1;2;2;2;1;1;1;1;1;1;1;NA;NA;NA;3;3;3;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;3;2;5;3;4;4;6;3;5;2;NA;3;0;1;0;0;0;NA;73;7;7;7;7;5,5;7;7;3;3;4
"93";102;1;1;35;3;"";2;1;"";3;1;2;7;5;1;7;7;7;7;7;7;4;4;4;4;2;NA;"6";"25";"31";"";"";2;3;3;NA;NA;7;7;3;3;3;3;6;"aardwarmteput slaan met meerdere dorpelingen";3;2;2;4;7;7;7;7;6;7;NA;"";2;1;2;1;2;1;NA;1;1;1;NA;1;1;1;1;3;2;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;3;3;4;4;4;7;7;7;7;5;3;5;3;4;6;3;4;3;2;3;4;NA;NA;NA;NA;1;NA;35;7;7;7;6;7;7;7;4;1,66666666666667;7
"94";103;NA;2;74;6;"";2;6;"";4;1;4;7;7;1;7;4;4;5;7;7;4;3;3;3;NA;NA;"51";"15";"";"";"";7;7;NA;NA;NA;7;7;NA;NA;NA;NA;NA;"";1;1;2;5;7;2;6;4;5;6;NA;"";3;1;1;1;1;1;NA;2;2;NA;1;1;NA;1;1;1;1;NA;NA;NA;4;5;NA;2;2;1;2;2;2;3;1;1;1;7;4;6;6;4;4;4;4;4;2;4;4;5;2;5;3;NA;NA;NA;NA;1;1;74;7;7;7;7;4;7;7;3,25;2,66666666666667;5,66666666666667
"95";104;NA;2;68;4;"";2;6;"";4;3;5;7;5;1;7;3;3;4;5;5;4;3;4;3;NA;NA;"6";"15";"";"";"";NA;NA;NA;NA;NA;5;6;NA;NA;NA;NA;NA;"";1;1;2;5;6;5;6;3;4;6;NA;"";2;2;2;4;1;1;NA;2;3;2;1;1;1;1;1;1;1;1;1;1;4;5;4;3;3;3;3;3;3;3;3;3;3;5;4;5;4;2;1;4;3;3;2;2;3;3;2;2;3;NA;NA;NA;NA;1;1;68;5;7;6;6;3;5;5;3,5;2,66666666666667;4,66666666666667
"96";105;NA;2;76;4;"";2;6;"";5;3;4;5;6;1;7;5;5;6;6;6;5;4;4;4;NA;NA;"6";"15";"";"";"";NA;NA;NA;NA;NA;4;6;NA;NA;NA;NA;NA;"";1;2;2;4;6;4;4;5;4;5;NA;"";1;1;1;4;1;1;NA;NA;NA;1;NA;1;NA;1;NA;1;NA;1;1;1;NA;NA;2;NA;2;NA;2;NA;2;NA;2;2;NA;6;5;6;5;5;4;4;3;3;4;4;4;4;2;8;3;NA;NA;NA;NA;1;1;76;5;7;6;6,5;5;6;6;4,25;2,33333333333333;5,66666666666667
"97";106;NA;2;70;3;"";2;1;"";4;1;7;7;4;1;4;5;5;6;5;5;5;4;4;4;NA;NA;"24";"31";"17";"34";"15";NA;NA;NA;NA;NA;7;7;NA;NA;NA;NA;NA;"";1;1;1;4;7;4;7;7;5;7;NA;"";4;1;2;1;4;1;NA;1;1;1;1;1;NA;1;1;NA;1;2;2;2;3;3;4;3;4;1;3;2;5;3;4;4;4;6;6;4;6;6;4;4;3;4;4;4;2;2;2;8;3;1;NA;NA;NA;NA;1;70;7;7;7;4;5;5;5;4,25;3;5,33333333333333
"98";107;NA;2;58;3;"";2;2;"";5;3;4;4;4;1;6;3;3;5;5;4;4;4;3;4;NA;NA;"13";"15";"";"";"";NA;NA;NA;NA;NA;4;5;NA;NA;NA;NA;NA;"";2;1;2;6;5;6;6;5;4;3;NA;"";3;3;2;5;3;2;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;3;3;2;2;2;2;2;5;5;5;4;4;4;4;4;3;3;4;2;5;2;8;4;NA;NA;NA;NA;1;1;58;5;7;6;5;3;4;4,5;3,75;2,33333333333333;5
"99";108;NA;NA;NA;NA;"";NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"15";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
