"";"id";"tDeel";"demo_gender";"demo_age";"demo_edu";"demo_edu1";"demo_living";"demo_work";"demo_work1";"demo_incom";"ind_pro_env_att_1";"resp_business";"resp_govern";"ind_effic_1";"proEnvAtt2";"ind_effic_2";"soc_norms_aware";"soc_norms_reduce";"identity";"col_effic_climate";"col_effic_energu";"contact_visit";"contact_active";"contact_help";"contact_advise";"club_membership";"Q13a";"club_1";"club_2";"club_3";"club_4";"club_5";"strentgh_1";"strength_2";"strength_3";"strength_4";"strength_5";"willingness_collI_nvest";"willingness_part_CEI_general";"invest_solar";"invest_isolation";"invest_machines";"invest_green_energy";"invest_others";"Q53a";"join_meeting";"join_volun";"join_finan";"reason_social";"reason_env";"reason_finance";"reason_independ";"reason_comfort";"reason_en_price";"reason_respons";"reason_other";"Q20a";"hurdle_know";"hurdle_time";"hurdle_finance";"hurdle_risk";"hurdle_give_up";"hurdle_identety";"Q22";"initiator1";"initiator2";"initiator3";"initiator4";"initiator5";"initiator6";"initiator7";"initiator8";"initiator9";"initiator10";"initiator11";"initiator12";"initiator13";"relation1";"relation2";"relation3";"relation4";"relation5";"relation6";"relation7";"relation8";"relation9";"relation10";"relation11";"relation12";"relation13";"open_team";"skills_team";"trust_team";"interests_CEI";"interests_munic";"interests_govern";"trust_neigh";"trust_gov";"trust_energy_comp";"perc_other_part";"dis_fair_earning";"dis_fair_subsidies";"en_pov_bill";"en_pov_debt";"en_pov_label";"en_pov_ruims";"en_pov_problems_1";"en_pov_problems_2";"en_pov_problems_3";"en_pov_problems_4";"en_pov_problems_5";"Initiator";"demo_age_cleaned";"ind_pro_env_att_1_rev";"proEnvAtt2_rev";"ind_pro_env_att";"ind_effic";"soc_norms";"col_effic_energ";"col_effic";"contact_advise_scale";"willing_to_part";"trust"
"28";30;1;2;53;4;"";2;2;"";6;1;2;3;7;1;7;6;6;7;7;7;3;3;2;3;2;NA;"4";"24";"32";"40";"";3;3;5;6;5;7;7;3;3;2;3;3;"Xx";1;2;2;4;7;5;4;5;4;7;NA;"";4;4;1;4;1;1;NA;1;1;1;1;2;1;2;2;1;2;2;2;1;NA;NA;NA;NA;3;NA;3;3;NA;3;1;1;NA;4;4;6;4;4;4;4;5;4;4;4;4;5;2;8;4;NA;NA;NA;NA;1;NA;53;7;7;7;7;6;7;7;2,75;2,33333333333333;4,66666666666667
"29";31;1;2;68;4;"";2;6;"";3;2;5;5;2;1;5;6;4;5;5;5;3;3;3;3;2;NA;"6";"26";"";"";"";4;2;NA;NA;NA;5;5;3;6;1;1;NA;"";1;2;2;2;5;4;4;5;6;6;NA;"";3;5;4;4;4;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;4;3;3;3;3;3;2;2;8;3;1;1;0;0;0;NA;68;6;7;6,5;3,5;5;5;5;3;2,33333333333333;4
"30";32;1;2;71;2;"";2;6;"";3;7;7;7;3;6;2;4;4;1;1;1;1;3;1;1;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;1;1;3;3;3;1;NA;"";3;3;3;1;1;1;1;1;1;1;NA;"";5;7;7;7;1;7;NA;1;1;1;1;2;1;1;2;1;1;1;2;1;NA;NA;NA;NA;1;NA;NA;1;NA;NA;NA;1;NA;1;1;1;1;1;1;4;3;2;2;1;1;7;2;7;4;NA;NA;NA;NA;1;NA;71;1;2;1,5;2,5;4;1;1;1,5;1;1
"31";33;1;1;51;4;"";2;3;"";3;5;4;2;4;4;5;4;4;3;3;3;3;3;1;2;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;1;1;2;5;3;2;1;"";3;3;3;1;1;1;1;1;1;1;1;"";5;5;1;6;1;1;NA;1;1;1;1;2;1;2;2;1;1;1;1;1;NA;NA;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;1;1;2;2;2;2;4;2;2;4;1;1;3;2;1;3;NA;NA;NA;NA;1;NA;51;3;4;3,5;4,5;4;3;3;2,25;1;1,33333333333333
"32";35;1;1;55;3;"";2;2;"";4;3;7;4;3;3;3;4;3;3;3;3;3;3;2;2;2;NA;"29";"";"";"";"";3;NA;NA;NA;NA;1;1;5;5;3;1;NA;"";3;3;3;1;1;1;1;1;1;1;1;"";1;4;4;7;1;7;NA;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;1;1;1;1;3;1;1;2;1;1;6;2;8;4;NA;NA;NA;NA;1;NA;55;5;5;5;3;3,5;3;3;2,5;1;1,66666666666667
"33";36;1;2;75;3;"";2;6;"";4;1;7;7;6;1;7;4;4;3;5;5;4;4;3;3;2;NA;"22";"41";"10";"6";"";2;2;2;3;NA;5;5;3;3;3;3;NA;"";2;2;2;3;5;4;5;5;5;5;NA;"";3;3;2;3;6;2;NA;2;1;1;1;2;1;1;1;2;2;1;1;1;1;NA;NA;NA;2;NA;NA;NA;1;1;NA;NA;NA;4;4;4;4;4;4;4;2;3;3;4;4;5;2;8;2;NA;NA;NA;NA;1;NA;75;7;7;7;6,5;4;5;5;3,5;2;4
"34";37;1;1;59;4;"";2;3;"";3;1;5;7;7;1;7;6;6;5;7;7;3;3;2;2;2;NA;"10";"6";"30";"17";"";4;4;4;NA;NA;6;6;5;3;6;6;1;"";1;2;2;4;7;6;6;6;5;7;4;"x";3;3;2;2;5;1;NA;1;1;1;2;1;1;1;NA;NA;2;1;1;1;NA;NA;NA;3;NA;NA;NA;NA;NA;3;NA;NA;NA;7;7;7;6;5;5;4;3;3;4;5;5;4;2;4;3;NA;NA;NA;NA;1;NA;59;7;7;7;7;6;7;7;2,5;2,33333333333333;7
"35";38;1;2;67;3;"";2;6;"";4;1;5;7;3;1;5;4;4;5;6;5;3;4;2;3;2;NA;"42";"6";"10";"15";"";2;5;4;3;NA;5;6;5;3;6;3;6;"Dubbel glas vervangen door HR++";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;67;7;7;7;4;4;5;5,5;3;NA;NA
"36";39;1;2;67;3;"";2;6;"";4;1;5;7;3;1;5;5;5;6;5;6;3;4;1;3;2;NA;"42";"6";"10";"15";"";2;5;4;3;NA;5;6;5;3;6;3;6;"Dubbel glas vervangen door HR++";1;1;2;3;5;5;5;6;2;5;NA;"";5;2;3;3;6;1;NA;1;1;1;2;1;1;2;1;1;2;1;1;1;NA;NA;NA;1;NA;NA;1;NA;NA;2;NA;NA;NA;5;6;4;6;5;4;4;2;4;2;4;6;3;2;4;3;NA;NA;NA;NA;1;NA;67;7;7;7;4;5;6;5,5;2,75;2,66666666666667;5
"37";41;1;2;51;2;"";2;6;"";3;4;7;7;4;2;5;6;6;6;4;4;NA;5;NA;3;2;NA;"6";"";"";"";"";3;NA;NA;NA;NA;2;2;3;3;2;3;NA;"";2;3;2;3;6;6;3;6;4;NA;7;"";2;2;4;4;1;2;NA;NA;NA;NA;NA;2;NA;2;2;NA;2;NA;2;NA;NA;NA;NA;NA;2;NA;2;2;NA;1;NA;1;NA;NA;4;5;3;2;3;4;3;3;3;4;4;5;2;8;2;NA;NA;NA;NA;1;NA;51;4;6;5;4,5;6;4;4;4;1,66666666666667;4,5
"38";42;1;1;77;5;"";2;6;"";4;1;2;7;6;1;7;4;6;6;7;6;4;4;2;4;2;NA;"42";"37";"17";"10";"";2;3;3;4;NA;5;6;4;5;3;3;NA;"";2;3;2;4;6;5;6;6;6;6;NA;"";2;2;2;2;2;2;NA;NA;NA;2;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;1;NA;2;NA;NA;NA;NA;6;6;6;6;6;5;5;4;3;4;7;7;5;2;7;3;1;0;0;0;0;NA;77;7;7;7;6,5;5;6;6,5;3,5;1,66666666666667;6
"39";43;1;NA;NA;NA;"";NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";"";"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";44;1;2;68;2;"";2;6;"";8;5;7;6;4;4;7;4;6;3;2;2;4;3;4;2;1;NA;"";"";"";"";"";NA;NA;NA;NA;NA;2;2;3;3;3;3;NA;"";3;3;3;2;2;6;7;7;7;4;NA;"";3;5;1;2;1;3;NA;1;1;1;1;2;2;2;2;1;1;1;1;1;NA;NA;NA;NA;3;3;2;2;NA;NA;NA;NA;NA;6;5;4;NA;NA;NA;4;2;3;3;NA;NA;4;2;2;3;NA;NA;NA;NA;1;NA;68;3;4;3,5;5,5;5;2;2;3,25;1;5
"41";45;1;1;60;5;"";2;2;"";3;3;6;6;3;1;6;4;4;5;6;6;4;4;1;2;2;NA;"10";"";"";"";"";1;3;NA;NA;NA;4;3;3;3;3;3;NA;"";2;3;2;1;5;5;5;5;5;5;NA;"";4;5;2;4;3;2;NA;2;1;2;2;2;2;2;2;2;2;2;2;2;2;NA;3;1;3;3;1;1;3;3;1;1;1;NA;NA;NA;4;4;4;4;3;4;2;5;5;3;NA;8;2;1;0;0;0;0;NA;60;5;7;6;4,5;4;6;6;2,75;1,66666666666667;NA
